date,port_ret,equity,turnover
2022-01-31,0.0,1.0,0.0
2022-02-01,0.002618110294660806,1.0026181102946607,0.21817799885173686
2022-02-02,0.008146046990291351,1.0107854845344382,0.15660325854708182
2022-02-03,-0.029275873460196472,0.9811938565938046,0.06492054582805704
2022-02-04,0.006759249336497318,0.9878259905179616,0.13922331934176266
2022-02-07,-0.004467284458660889,0.9834130908226595,0.061834743490027065
2022-02-08,0.00739280190152329,0.9906832689904761,0.07847687133327086
2022-02-09,0.01547652924951844,1.0060156075800157,0.054165108174585384
2022-02-10,-0.017399348755421915,0.9885115911703334,0.12026069005464479
2022-02-11,-0.020356973863744195,0.9683884865448706,0.9235682762762029
2022-02-14,0.005350715998121425,0.9735700583122229,0.27751807986858457
2022-02-15,-0.005661336820564988,0.9680583502937002,0.04115207821319224
2022-02-16,0.008636226744644647,0.9764187217088833,0.03659458908987098
2022-02-17,0.009658528671259351,0.985849489927663,0.227437536353656
2022-02-18,-0.0007334549100844745,0.9851264137786713,0.0
2022-02-22,0.0020890378623357186,0.9871843801562419,0.0
2022-02-23,0.004507227270324599,0.9916338445153206,0.355502457217613
2022-02-24,-0.0029138891086970004,0.988744333455972,0.15815254572794862
2022-02-25,-0.0004506505710297083,0.9882987552574978,0.24927143646998895
2022-02-28,0.004620642536344,0.9928653305246564,0.33080815901502597
2022-03-01,-0.0006970735397487382,0.9921732303742139,0.0
2022-03-02,-0.0005832408306258446,0.9915945544352057,0.05102393327779744
2022-03-03,0.0004165772056945378,0.9920076301238743,0.05102393327779744
2022-03-04,0.0008129185804578998,0.992814051558358,0.0
2022-03-07,-0.012222122692062617,0.980679756409808,0.875
2022-03-08,0.02735899761029459,1.0075101715218882,0.11109636191255536
2022-03-09,-0.02600036165500102,0.981314542691227,0.45775170352423145
2022-03-10,-0.0017025716649949683,0.9796437843563934,0.5688480654367869
2022-03-11,-0.007027884128157802,0.9727589613530667,0.875
2022-03-14,-0.011739262346614973,0.9613394887057224,0.875
2022-03-15,0.0009849747072256942,0.9622863837871548,0.06210437886246369
2022-03-16,0.009505021797281545,0.971432936840279,0.6379698346891496
2022-03-17,0.008773699408113223,0.9799559974232561,0.3396407795858109
2022-03-18,0.009981680883278329,0.9897376054691897,0.22100812768547126
2022-03-21,-0.0018729729185983934,0.9878838537376274,0.025305755903886583
2022-03-22,0.014779892022004928,1.0024846704261519,0.09433608236182618
2022-03-23,-0.012178898556870219,0.9902755113202142,0.17318626458857217
2022-03-24,0.01916165756069163,1.009250831558871,0.15362185986828816
2022-03-25,0.0009617398932410356,1.010221468345868,0.07941857866100321
2022-03-28,0.01057412167985084,1.0209036730757548,0.050076185599311006
2022-03-29,0.015381704266726701,1.0366069114598213,0.1601327314880483
2022-03-30,-0.0063932392612818,1.0299796354549604,0.1940614474378119
2022-03-31,-0.013267987029699143,1.0163138790108899,0.4170320044161811
2022-04-01,0.003828307289452246,1.0202046408422787,0.542249045361807
2022-04-04,-0.0023435932485903086,1.0178136961338202,0.05480005095080565
2022-04-05,-0.01175322100489325,1.005851106821352,0.4089008259009438
2022-04-06,0.005786767992733657,1.0116717338117616,0.41916438816500085
2022-04-07,-0.009936795690218991,1.0016189584873045,0.7585364391273
2022-04-08,0.005149534307303613,1.0067768296768806,0.24146356087270004
2022-04-11,0.00495946377048706,1.011769902888629,0.0
2022-04-12,0.007676751619002609,1.0195370091286873,0.0
2022-04-13,0.004788537865618281,1.0244191007022991,0.07319162053033454
2022-04-14,-0.003684336854962962,1.0206447956546536,0.07319162053033454
2022-04-18,0.0030971927027427792,1.0238059292678476,0.0
2022-04-19,-0.015112904376299419,1.0083332481589342,0.3349663323070002
2022-04-20,0.006129777944176811,1.014514107063879,0.2882726455706592
2022-04-21,-0.003715233705031233,1.0107449500590857,0.4339478502134617
2022-04-22,-0.01348152652740997,0.9971185652024185,0.75
2022-04-25,0.0019750359348183893,0.9990879101999677,0.5
2022-04-26,0.0004373344400937368,0.9995248457517794,0.5
2022-04-27,-0.005494034364070144,0.9940334219014771,0.7208539049141567
2022-04-28,0.0005750866475706207,0.9946050772496516,0.20162843446696777
2022-04-29,-0.011917568136029132,0.9827518034730883,0.540599849714302
2022-05-02,-0.017333936095219382,0.9657168465142242,0.6530471661107022
2022-05-03,0.004284397596674018,0.9698543614504973,0.21296144374487264
2022-05-04,0.008188915693681345,0.9777964170515646,0.8429500056658623
2022-05-05,-0.040333004584412545,0.9383589496800017,0.26098807816902236
2022-05-06,-0.010812550803954749,0.928212895864241,0.43309210109524127
2022-05-09,-0.034322429649254034,0.8963543740464103,0.7396583364480713
2022-05-10,0.00046047683133990103,0.8967671244683288,0.875
2022-05-11,-0.0019468802405291363,0.8950212262733453,0.875
2022-05-12,-0.00294293939939895,0.8923872330432472,0.0
2022-05-13,0.007917243283743158,0.8994524798705569,0.49276224704795196
2022-05-16,0.0013492714062216984,0.9006660853829015,0.9927622470479518
2022-05-17,0.022501538517497838,0.9209324579945488,0.31432385889935405
2022-05-18,-0.034144588236334546,0.8894875984228494,0.3143238588993541
2022-05-19,-0.005821479322516223,0.8843094647609963,0.6812253419041358
2022-05-20,0.0023994299383407807,0.8864313033655019,0.6196553538216845
2022-05-23,0.00344323939382434,0.8894834985491691,0.7425207117324708
