date,port_ret,equity,turnover,cost
2022-09-30,0.024430966605393338,1.0244309666053932,0.0,0.0
2022-10-03,0.03244761016234053,1.0576713032480347,0.20348389829593233,0.00020348389829593234
2022-10-04,-0.0031557504451526575,1.0543335565619845,0.21608117880591177,0.00021608117880591177
2022-10-05,-0.007596709697106588,1.046324090608865,0.12155227486400022,0.00012155227486400022
2022-10-06,-0.03951377336542839,1.0049798776257584,0.12648924739066703,0.00012648924739066704
2022-10-07,-0.0065797705833634925,0.9983673405900841,0.44979369701114336,0.0004497936970111434
2022-10-10,-0.013625406418515075,0.9847641798195722,0.3303558295831248,0.0003303558295831248
2022-10-11,0.0006136298190514203,0.9853684604850431,0.12262467782248282,0.00012262467782248282
2022-10-12,0.022535037038204746,1.0075737752383522,0.07646968566685644,7.646968566685644e-05
2022-10-13,-0.030195973687774637,0.9771491040327632,0.134939721348849,0.000134939721348849
2022-10-14,0.03373616475226146,1.0101143671939372,0.38900499520356097,0.000389004995203561
2022-10-17,0.003104808240160629,1.0132505786047055,0.22267013452010787,0.00022267013452010787
2022-10-18,-0.006548363560206037,1.0066154454384126,0.265170270106569,0.000265170270106569
2022-10-19,-0.0018158260947681944,1.0047876068451889,0.1164406454552026,0.0001164406454552026
2022-10-20,0.017424238488189907,1.0222952657368372,0.14106292177744967,0.00014106292177744968
2022-10-21,0.008721364310661119,1.0312110751823922,0.12970764876287283,0.00012970764876287283
2022-10-24,0.022618355870934005,1.054535374258916,0.26615565976024924,0.00026615565976024927
2022-10-25,-0.026352036237774365,1.0267462198624302,0.17013452007452523,0.00017013452007452523
2022-10-26,-0.007463396697628786,1.0190832055158061,0.7572208130695736,0.0007572208130695735
2022-10-27,0.012908172661853623,1.0322377074893994,0.7356104921415749,0.0007356104921415749
2022-10-28,-0.0007723035361336082,1.031440506657775,0.6689282273776974,0.0006689282273776975
2022-10-31,-0.009300440860064919,1.021847655224929,0.9448943159287698,0.0009448943159287698
2022-11-01,-0.03423627605263011,0.9868633968169155,0.2906291511316928,0.0002906291511316928
2022-11-02,-0.017168030268888388,0.9699208961491047,0.24135782436382555,0.00024135782436382556
2022-11-03,0.0271517571284724,0.9962559527551756,0.15095750498694735,0.00015095750498694734
2022-11-04,0.01545029104054281,1.0116483971761163,0.209048099634699,0.00020904809963469902
2022-11-07,-0.002957331007534784,1.0086566180024246,0.24859222609058296,0.00024859222609058295
2022-11-08,-0.019525956919269626,0.9889616323329731,0.30566447166556876,0.0003056644716655688
2022-11-09,0.07958877325550417,1.0676718754471155,0.4786771406693889,0.0004786771406693889
2022-11-10,-0.008151567016560314,1.0589686766027118,1.467388542369008,0.001467388542369008
2022-11-11,-0.012764589980770647,1.0454513756433987,1.4945721455050451,0.001494572145505045
2022-11-14,0.01062585347665078,1.0565601887779486,0.3115934034278572,0.0003115934034278572
2022-11-15,-0.00893872372388616,1.0471158891528054,0.2541073815764828,0.0002541073815764828
2022-11-16,-0.003748606430599645,1.0431906637971442,0.30374840927144764,0.00030374840927144763
2022-11-17,-0.001244880232091118,1.041892016361481,0.26278907392814643,0.00026278907392814646
2022-11-18,-0.017889055085724793,1.0232535526874136,0.20912444756951787,0.00020912444756951786
2022-11-21,0.01714183532390114,1.0407939965821782,0.24266991958191098,0.000242669919581911
2022-11-22,0.011417006556152236,1.0526767484647608,0.30465996471982404,0.00030465996471982403
2022-11-23,-0.007582810247759297,1.0446945004289243,0.4353144912810035,0.0004353144912810035
2022-11-25,-0.017164488601947133,1.0267628535837952,0.19906276729913344,0.00019906276729913345
2022-11-28,-0.004723909239737371,1.0219125190527314,0.18207098126714694,0.00018207098126714693
2022-11-29,0.05113864427604105,1.0741717398458022,0.18076569957950395,0.00018076569957950394
2022-11-30,-0.00041924645303789877,1.0737213971539183,0.7334122121089255,0.0007334122121089255
2022-12-01,9.816802278124189e-05,1.0738268022604949,0.6812647707023722,0.0006812647707023723
2022-12-02,-0.01558020711633225,1.0570963582742077,0.22704847191415212,0.0002270484719141521
2022-12-05,-0.025905762278410217,1.0297114713113829,0.13638670055731128,0.00013638670055731128
2022-12-06,-0.0048643491857466754,1.0247025951543554,0.3673133195994689,0.0003673133195994689
2022-12-07,0.01533126067727283,1.0404125777573447,0.3308846160630844,0.0003308846160630844
2022-12-08,-0.004768177437207681,1.0354517059786952,0.4949598603077203,0.0004949598603077204
2022-12-09,0.009861359698332286,1.045662667701603,0.32180573716918864,0.00032180573716918863
2022-12-12,0.02321757319168597,1.0699404172227784,0.14937772729354604,0.00014937772729354604
2022-12-13,-0.0045047142387258255,1.0651206413907268,0.1634961830993526,0.0001634961830993526
2022-12-14,-0.036683393055438156,1.0260484022511305,0.1958602703709621,0.0001958602703709621
2022-12-15,-0.010211241898443656,1.0155711738162325,0.27191779311478514,0.00027191779311478516
2022-12-16,-0.020534394836863933,0.9947170343481526,0.2373861100581494,0.0002373861100581494
2022-12-19,0.006064193243850831,1.00074919066739,0.2065103416654564,0.0002065103416654564
2022-12-20,0.013803660943084464,1.0145631931844288,0.2002151530813584,0.00020021515308135841
2022-12-21,-0.02230380503328297,0.9919345735296983,0.22845544138624235,0.00022845544138624236
2022-12-22,0.003960340929479745,0.995862972620614,0.24590665281632895,0.00024590665281632893
2022-12-23,-0.01746994658817112,0.9784652996797945,0.11794990062351679,0.0001179499006235168
2022-12-27,-0.012226809921137083,0.9665017904461811,0.11760795982576944,0.00011760795982576944
2022-12-28,0.024442502324367447,0.9901255127056673,0.08905802382937039,8.905802382937039e-05
2022-12-29,-0.0010571785941417796,0.9890787732081212,0.2634744088405487,0.0002634744088405487
2022-12-30,0.00548011844470143,0.9944990420364418,0.12010569574140931,0.00012010569574140931
2023-01-03,0.0023440767597489648,0.996830224128472,0.13639137738604998,0.00013639137738604998
2023-01-04,-0.012391016272542962,0.9844784846003335,0.1909821770178467,0.0001909821770178467
2023-01-05,0.021558383965704905,1.005702249777323,0.17560626235415924,0.00017560626235415926
2023-01-06,0.005460116333360458,1.0111935010578295,0.2862096900324318,0.0002862096900324318
2023-01-09,0.012732538400492693,1.0240685611403768,0.23114673596241617,0.00023114673596241617
2023-01-10,0.023591031510381662,1.0482273948350305,0.1673430931482487,0.0001673430931482487
2023-01-11,0.01613241022020887,1.0651378291725702,0.10578961538844911,0.00010578961538844912
2023-01-12,0.017415309151987746,1.0836875337570875,0.1249088130656668,0.0001249088130656668
2023-01-13,0.011729556792682165,1.0963987082298128,0.24347583822248062,0.00024347583822248063
