kind,quantile,coverage,target,pinball,n
raw,0.1,0.1339567966280295,0.1,0.0020142611741125593,7592
raw,0.5,0.5201527924130663,0.5,0.0035857470812451857,7592
raw,0.9,0.8923867228661749,0.9,0.001581235620577535,7592
cal,0.1,0.1280295047418335,0.1,0.002007340988153852,7592
cal,0.5,0.5134351949420443,0.5,0.0035838876449422784,7592
cal,0.9,0.8908061116965227,0.9,0.0015816773475623108,7592
lin,0.1,0.1292149631190727,0.1,0.001758604306880758,7592
lin,0.5,0.5154109589041096,0.5,0.003429371953801624,7592
lin,0.9,0.8860642781875658,0.9,0.0015706190489692968,7592
