,0
2025-05-28,1.0
2025-05-29,1.0080726997350218
2025-05-30,0.978454065155295
2025-05-31,0.9788785353513375
2025-06-01,0.9788785353513375
2025-06-02,0.9773122961827175
2025-06-03,0.991731396887233
2025-06-04,0.993976381309744
2025-06-05,1.019121922340187
2025-06-06,1.0588155321458514
2025-06-07,1.0571214306851386
2025-06-08,1.0571214306851386
2025-06-09,1.0554300034657478
2025-06-10,1.0468428806256178
2025-06-11,1.0491981106758586
2025-06-12,1.0535324984239707
2025-06-13,1.0385710973853564
2025-06-14,1.0310820995101693
2025-06-15,1.0310820995101693
2025-06-16,1.0294323289690657
2025-06-17,1.0463939329283205
2025-06-18,1.0495427254276375
2025-06-19,1.047863761692471
2025-06-20,1.0461871392191706
2025-06-21,1.0407838498056252
2025-06-22,1.0407838498056252
2025-06-23,1.0391188844120762
2025-06-24,1.0537981047426948
2025-06-25,1.0739401878225119
2025-06-26,1.0825079880400157
2025-06-27,1.0904432882233888
2025-06-28,1.0886985271705385
2025-06-29,1.0886985271705385
2025-06-30,1.086956725716475
2025-07-01,1.0629337019670233
2025-07-02,1.1114500616231198
2025-07-03,1.1225925821871885
2025-07-04,1.1082875352521318
2025-07-05,1.1082875352521318
2025-07-06,1.1082875352521318
2025-07-07,1.1065142302976712
2025-07-08,1.1233256438837638
2025-07-09,1.1526547144729085
2025-07-10,1.1633698644205226
2025-07-11,1.1884013878734354
2025-07-12,1.186293208385116
2025-07-13,1.186293208385116
2025-07-14,1.1843951426403034
2025-07-15,1.2042053644064128
2025-07-16,1.2018088899819859
2025-07-17,1.2236514152434235
2025-07-18,1.234387212475531
2025-07-19,1.2380432633358234
2025-07-20,1.2380432633358234
2025-07-21,1.2360626329880038
2025-07-22,1.2584003309139598
2025-07-23,1.2509515734367493
2025-07-24,1.2712564360451293
2025-07-25,1.285375692247206
2025-07-26,1.28621570309951
2025-07-27,1.28621570309951
2025-07-28,1.2841579784253752
2025-07-29,1.2973120205253152
2025-07-30,1.3130791951111447
2025-07-31,1.2822650973387226
2025-08-01,1.2548323664428005
2025-08-02,1.2461015464052714
2025-08-03,1.2461015464052714
2025-08-04,1.2441077934522364
2025-08-05,1.219807773880462
2025-08-06,1.2597564618892698
2025-08-07,1.3052969843154771
2025-08-08,1.326472910018218
2025-08-09,1.3531955372722941
2025-08-10,1.3531955372722941
2025-08-11,1.3510308689541406
2025-08-12,1.3833500697499992
2025-08-13,1.3739707711019618
2025-08-14,1.4043597484554153
2025-08-15,1.3915492007634664
2025-08-16,1.388193810576322
2025-08-17,1.388193810576322
2025-08-18,1.385972713812372
2025-08-19,1.3069915516775505
2025-08-20,1.3318717516870753
2025-08-21,1.311904315261312
2025-08-22,1.4096848270385924
2025-08-23,1.4074292393187018
2025-08-24,1.4074292393187018
2025-08-25,1.4051773546625557
2025-08-26,1.3827709254854592
2025-08-27,1.3899708086164655
2025-08-28,1.3920618860178584
2025-08-29,1.3912827070697473
2025-08-30,1.3908408695639474
2025-08-31,1.3908408695639474
2025-09-01,1.3908408695639474
2025-09-02,1.3886154942296431
2025-09-03,1.3890854520610658
2025-09-04,1.4087513238068354
2025-09-05,1.4460506075969437
2025-09-06,1.4417871208129567
2025-09-07,1.4417871208129567
2025-09-08,1.4394800322529258
2025-09-09,1.4379410542336921
2025-09-10,1.432078858095014
2025-09-11,1.4570659273222337
2025-09-12,1.464876385507597
2025-09-13,1.4573606990695431
