,port_ret,equity,turnover
2023-10-16,0.0,1.0,0.0
2023-10-17,0.0024098018367535935,1.0024098018367535,0.16555477648027084
2023-10-18,0.003967548062762005,1.0063869109041248,0.44227235281116506
2023-10-19,-0.005827336270815722,1.000522355955739,0.05039555001867525
2023-10-20,-0.0024506397166826005,0.9980704361328051,0.3609199238397357
2023-10-23,-0.0002584690709118452,0.9978124657944732,0.3142323692088994
2023-10-24,-0.0027660160025909254,0.995052500546501,0.2080493704133526
2023-10-25,0.007507821200142952,1.0025231768053593,0.5992338966746947
2023-10-26,-0.010984951783075615,0.9915105080467367,0.18448835925048485
2023-10-27,-0.0007599849356153223,0.9907569749971168,0.21907453073051614
2023-10-30,0.005942050738712662,0.9966441032122831,0.45637705684088276
2023-10-31,-0.0009610922772813189,0.9956862362614878,0.11554268792733721
2023-11-01,-0.00598564477258852,0.9897264121462708,0.22597375584425716
2023-11-02,-0.011638747310218675,0.9782072365290511,0.18133269060485438
2023-11-03,-0.008830833753951628,0.9695688510463505,0.03241168470326766
2023-11-06,0.0017164318947306908,0.9712330499464238,0.2523284852930503
2023-11-07,-0.004342962269390623,0.9670150214557214,0.1143342997212837
2023-11-08,-0.001898500467803859,0.9651791429851144,0.10203079540022555
2023-11-09,0.0073686834954885694,0.9722912426062186,0.26098017821313674
2023-11-10,-0.010947794025915943,0.9616467983489638,0.22975209580521538
2023-11-13,0.002039353803805426,0.9636079364050941,0.18744153993651183
2023-11-14,-0.016766409161041662,0.9474516914724993,0.07881156660406924
2023-11-15,0.001119553289532046,0.94851241413036,0.15705552153516675
2023-11-16,-0.0009525706013399733,0.9476088890896534,0.23753079399347116
2023-11-17,-0.0009176276817157136,0.9467393369415849,0.1360641720739886
2023-11-20,-0.006353728694706139,0.940724012050052,0.09407495841416372
2023-11-21,0.002532732601106757,0.943106614424015,0.2872646771893732
2023-11-22,-0.001199222747582541,0.9419756195186022,0.20473694882734622
2023-11-24,0.0013359446566942354,0.9432340468142344,0.1783649199425825
2023-11-27,-0.0015398444768700728,0.9417816130768517,0.29534349338812227
2023-11-28,-0.005269644158068273,0.9368187591013252,0.1587286993734695
2023-11-29,-0.003027538111393642,0.9339825046046774,0.27290933994763955
2023-11-30,0.0021736531405897644,0.9360126586090672,0.27963167107455433
2023-12-01,-0.005433012383340961,0.9309272902438803,0.336045440878672
2023-12-04,0.007621437725664649,0.9380222946135959,0.6565172988388011
2023-12-05,-0.0009737343680183483,0.9371089100673632,0.24031850882408207
2023-12-06,-0.0030236224534112865,0.9342754465255918,0.21455074490151638
2023-12-07,0.007382670951253073,0.9411728947251252,0.48523746305782406
2023-12-08,0.004360719302147081,0.9452770855338107,0.537858166548894
2023-12-11,-0.0008396352396935933,0.9444833975815218,0.1421124561810339
2023-12-12,0.0008820531744902038,0.9453164821606118,0.1914941347251284
2023-12-13,-0.0008603401790344552,0.9445031884091055,0.4442053390945282
2023-12-14,-0.00567175770517351,0.9391461951726853,0.38808537577756386
2023-12-15,0.0018562144196419463,0.9408894518823167,0.4495445218184384
2023-12-18,0.0034310669289963733,0.9441177065645115,0.639125518004204
2023-12-19,-0.0031096600632573752,0.9411818214373937,0.13291160641287209
2023-12-20,0.00029919729239255045,0.9414634204900167,0.7392663015889592
2023-12-21,0.007154014730315485,0.9481986636682556,0.7556735707698657
2023-12-22,-0.00032821578339631426,0.9478874499010443,0.47411909813953645
2023-12-26,0.00153397906353267,0.9493414894037779,0.2630516308626986
2023-12-27,-0.0037354206416332896,0.9457952996083002,0.2266910888954317
2023-12-28,0.002240962319145825,0.9479147912363476,0.315855072205362
2023-12-29,-0.0012531452761713514,0.9467269162934968,0.18963475945184122
2024-01-02,-0.00824743680227257,0.9389188458823557,0.12676104257665144
2024-01-03,-0.008220685411644304,0.9312002894232927,0.16195530388999266
2024-01-04,-0.002423261468070311,0.9289437476428773,0.20193971930297833
2024-01-05,0.001066498584382803,0.9299344648347099,0.1334056876259827
2024-01-08,0.012450547530970711,0.9415126580898222,0.4604350633095021
2024-01-09,-0.00019943447847176773,0.9413248880038815,0.4012163523848685
2024-01-10,0.0041287158245240825,0.9452113509650014,0.12117611063542011
2024-01-11,-0.0006319029144189559,0.9446140691575847,0.1166770658219697
2024-01-12,-8.636643057235573e-05,0.9445324862121631,0.12487611796033968
2024-01-16,0.002294374053321148,0.9466995970410473,0.3351661330553112
2024-01-17,-0.00572899914149049,0.9412759558623498,0.060369973491133266
2024-01-18,0.009572128819351187,0.9502859705664221,0.7221910599829618
2024-01-19,0.0007192893013247576,0.9509695010982495,0.35661466236369194
2024-01-22,-0.0010957667620994174,0.9499274603271758,0.540281037564011
2024-01-23,0.002771881090281844,0.9525605462915963,0.4023559464332741
2024-01-24,0.0024665910824455783,0.9549101236405685,0.4073014746662988
2024-01-25,-0.0021377200843462917,0.9528687930905164,0.43881727395956166
2024-01-26,0.0013878203635129516,0.9541912038053234,0.33949651729447256
2024-01-29,0.0008473276103839764,0.9549997163578932,0.4908728804286596
2024-01-30,0.00103263925501125,0.955985886553529,0.3842168225631537
2024-01-31,-0.007911812750362266,0.9484223052271284,0.4346789524818491
2024-02-01,0.007890003969290673,0.9559053609799343,0.7641306482703409
2024-02-02,0.00517842261895977,0.9608554429228177,0.5138871102483801
2024-02-05,0.0024478143673890653,0.9632074386809882,0.6899773587661128
2024-02-06,-0.00172308746330897,0.9615477480188311,0.40891084141845857
2024-02-07,0.00276146549342831,0.9642030289452688,0.36820483856586916
2024-02-08,0.0007751665705180109,0.9649504469004994,0.24026071437591726
2024-02-09,0.0015141257824216,0.9664115032509106,0.2950943166592121
2024-02-12,0.0014201260680964105,0.9677839294191855,0.48494835810483383
2024-02-13,-0.0008251163301199848,0.966985395094994,0.49993012363968287
2024-02-14,0.006800364532622223,0.9735612482793617,0.86176140274118
2024-02-15,-0.0033861731018244136,0.9702646013674595,0.30625511107549813
2024-02-16,-0.00026799501904854815,0.9700045752871339,0.4199077283825873
2024-02-20,-0.005538868506090177,0.9646318474943126,0.08901739801495695
2024-02-21,-0.0004045202643579259,0.9642416343643562,0.10167061245630817
2024-02-22,0.015001673896144024,0.9787068729201752,0.6023138192846542
2024-02-23,-0.0011946747399826769,0.97753763654125,0.5271414666526765
2024-02-26,0.0006527928509418978,0.9781757661219108,0.13179433035966814
2024-02-27,0.0014702107438186755,0.9796138906426063,0.2784030435354942
