kind,CAGR,Sharpe,MaxDD,Turnover_med
raw,0.06082089189721107,0.49713340704010534,-0.2985980809037493,0.2234240438422827
cal,0.05727864517894221,0.46867715866820486,-0.2984231749830233,0.2217890217910415
lin,0.03691537701404335,0.33685667407432807,-0.3174088417961173,0.2067809676631999
