date,FXE,GLD,HYG,IEF,QQQ,SPY,TLT,VNQ
2022-01-31,0.0,0.0,0.039247823103605424,0.12715847641854025,0.20780172109066256,0.29780727511704436,0.17416834465667763,0.1538163596134697
2022-02-01,0.03297183555807842,0.0,0.049874115871728034,0.06370787433822196,0.3427688866029577,0.34380652613716844,0.06752784851773819,0.09934291297410727
2022-02-02,0.013833629218270787,0.0,0.01806551846971122,0.024255027294596384,0.4177220500690702,0.4197165926864965,0.0255484265157519,0.08085875574610296
2022-02-03,0.02259565857588687,0.0,0.0,0.0,0.40383449686079265,0.4814744435222453,0.0,0.09209540104107529
2022-02-04,0.08509283166464146,0.0,0.036945669056220494,0.030266904231861024,0.340386106636715,0.39755257230761337,0.0028676097397795602,0.106888306363169
2022-02-07,0.08978451856440421,0.0,0.012102700869819863,0.0,0.3512043243180341,0.4489223353347005,0.0,0.09798612091304133
2022-02-08,0.09578247422082187,0.058030221717898935,0.031985259027223184,0.008544626793284068,0.31857338883692277,0.3982101508278471,0.0,0.08887387857600221
2022-02-09,0.07955437449243279,0.0816008967024979,0.039926793958139556,0.015384389502974726,0.32253826537596336,0.3664937965464791,0.0,0.09450148342151252
2022-02-10,0.06268290223949055,0.09157684941469664,0.0,0.0,0.3525116082441259,0.43662145920270884,0.0,0.05660718089897809
2022-02-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,0.14225871569359635,0.6162913568694386,0.10205155219451532,0.0647657313103086,0.0,0.0,0.0,0.07463264393214115
2022-02-15,0.14069287322497376,0.6294838774355023,0.11126787828839116,0.05853926440576938,0.0,0.0,0.0,0.06001610664536349
2022-02-16,0.1194004955695851,0.6384124436415661,0.1213967386004768,0.05375929097462982,0.0,0.0,0.0,0.0670310312137423
2022-02-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,0.0,0.9177796175723173,0.04340457406630092,0.038815808361381765,0.0,0.0,0.0,0.0
2022-02-22,0.0,0.8493642879596601,0.03540136653477021,0.06307151559957967,0.0,0.0,0.05216282990598998,0.0
2022-02-23,0.048490750661047584,0.5411997970975371,0.14353669749112438,0.14321709872400495,0.0,0.0,0.12355565602628603,0.0
