group,strategy,start,end,trading_days,gross_return,net_return,cost_drag_compounded,total_cost_sum,cagr,annualized_return_arithmetic,annualized_volatility,downside_deviation_0rf,downside_deviation_4rf,avg_monthly_turnover,annualized_cost_sum,sharpe_0rf,sharpe_4rf,sortino_0rf,sortino_4rf,calmar,max_drawdown,total_turnover,avg_daily_turnover,annualized_turnover,trade_days,trade_events,avg_gross_exposure,max_gross_exposure,avg_net_exposure,avg_positions_over_1pct
advanced,Model-confidence weighting,2022-01-03,2026-05-08,1091,0.7758419149162747,0.5857696806775838,0.1900722342386909,0.11328197086097189,0.11237600235795853,0.11241315374687003,0.10888449634418819,0.06979802276370548,0.0709454953058255,2.137395676622111,0.026165954772653453,1.0324073446740076,0.6650455866367714,1.6105492576406355,1.0206871265711497,1.0001674072481708,-0.11235719294947466,113.28197086097188,0.10383315385973592,26.16595477265345,1090,11298,0.5511530835381686,0.8478211975122292,0.5430768348990183,6.174152153987167
advanced,Simple five-ETF momentum/crisis,2022-01-03,2026-05-08,1091,0.4633293832628935,0.23032367816504462,0.2330057050978489,0.1732817752531195,0.04904168210849469,0.054345777879178894,0.11351027975230675,0.08354252329989773,0.08470451595772203,3.269467457606027,0.040024754687246665,0.47877406343961093,0.12638307218062653,0.650516356611477,0.1693626097378232,0.2808657796662511,-0.1746089615002947,173.28177525311946,0.15882839161605816,40.024754687246656,1090,2343,0.9807516040329972,1.0,0.9807516040329972,1.996333638863428
advanced,Prediction long-only Top-5,2022-01-03,2026-05-08,1091,1.9392453041715862,1.2558463541122755,0.6833989500593107,0.2646560542157579,0.20672329800936717,0.22792463286296505,0.28315373919455644,0.19029161510225412,0.19152777210559527,4.993510456901092,0.06113045431931346,0.8049501077093558,0.6636840940102897,1.1977649816072486,0.9811873797568965,0.5809260287175372,-0.35585132665811736,264.6560542157579,0.24258116793378356,61.13045431931346,1090,6081,0.998166819431714,1.0,0.998166819431714,4.9908340971585705
