Date,crisis_score
2022-01-03,0.0
2022-01-04,0.10044658993012857
2022-01-05,0.1752442416456581
2022-01-06,0.1667381241291908
2022-01-07,0.15926168260376536
2022-01-10,0.18465365790238517
2022-01-11,0.14882855427370595
2022-01-12,0.11867253355451579
2022-01-13,0.37249540815222637
2022-01-14,0.26813255940715885
2022-01-18,0.43664968196048715
2022-01-19,0.486104216737934
2022-01-20,0.547110314319421
2022-01-21,0.5620348766905763
2022-01-24,0.5806984279149591
2022-01-25,0.6558667052587307
2022-01-26,0.6507416281217028
2022-01-27,0.6121464494176317
2022-01-28,0.42480950853708266
2022-01-31,0.402592427004985
2022-02-01,0.39410757950515285
2022-02-02,0.38182662730607686
2022-02-03,0.4118308611519772
2022-02-04,0.40596957147863355
2022-02-07,0.4099886099703334
2022-02-08,0.39971758333629137
2022-02-09,0.28129615503767724
2022-02-10,0.40423910321924994
2022-02-11,0.48245653067369265
2022-02-14,0.5047721252950549
2022-02-15,0.37283473307654924
2022-02-16,0.37691105197858543
2022-02-17,0.3911555764933992
2022-02-18,0.35063292388246164
2022-02-22,0.36444601865839166
2022-02-23,0.542732425263048
2022-02-24,0.5373828758676842
2022-02-25,0.3365319975906183
2022-02-28,0.4656039786303142
2022-03-01,0.6051816508125547
2022-03-02,0.5361412088284679
2022-03-03,0.5438089957226521
2022-03-04,0.49984107209132494
2022-03-07,0.6503514986580593
2022-03-08,0.612836996403686
2022-03-09,0.5820802197671582
2022-03-10,0.570778745479587
2022-03-11,0.5858783790067708
2022-03-14,0.4944471991380264
2022-03-15,0.3688527925459763
2022-03-16,0.4674770793090815
2022-03-17,0.4522655725664855
2022-03-18,0.43878200587501515
2022-03-21,0.43914579698469713
2022-03-22,0.4245871097315529
2022-03-23,0.4407977102017815
2022-03-24,0.4220674793230947
2022-03-25,0.41590786107531813
2022-03-28,0.30689245101393414
2022-03-29,0.29110207487343
2022-03-30,0.29908110013537714
2022-03-31,0.41884771581350094
2022-04-01,0.31526407090107317
2022-04-04,0.3044009017757693
2022-04-05,0.4543648813515431
2022-04-06,0.4761728346290432
2022-04-07,0.4413284257433784
2022-04-08,0.45362512019887963
2022-04-11,0.5453602341159878
2022-04-12,0.5023015005945767
2022-04-13,0.44216962435430324
2022-04-14,0.47363359310659253
2022-04-18,0.5714398385214363
2022-04-19,0.5373258482116144
2022-04-20,0.5382499986230308
2022-04-21,0.5686924698019082
2022-04-22,0.6633409659168279
2022-04-25,0.6492354689796819
2022-04-26,0.8683510402719212
2022-04-27,0.8650755658875016
2022-04-28,0.6822590712564217
2022-04-29,0.7850234109379457
2022-05-02,0.7819542698899808
2022-05-03,0.6175672957119708
2022-05-04,0.5820662856476253
2022-05-05,0.7368667113992432
2022-05-06,0.7316779483445536
2022-05-09,0.772356213692404
2022-05-10,0.7883589915740185
2022-05-11,0.8342643738265247
2022-05-12,0.7554807661623646
2022-05-13,0.65
2022-05-16,0.65
2022-05-17,0.6401333602768114
2022-05-18,0.75
2022-05-19,0.65
2022-05-20,0.6558191837512665
2022-05-23,0.6610302175550928
2022-05-24,0.6885057509483579
2022-05-25,0.65
2022-05-26,0.6485608716250805
2022-05-27,0.520702906003837
2022-05-31,0.5272264056544476
2022-06-01,0.6365778868278287
2022-06-02,0.6147394947755042
2022-06-03,0.5339180311542089
2022-06-06,0.5304183588732042
2022-06-07,0.5193594341942165
2022-06-08,0.5320140194565502
2022-06-09,0.5666262242389297
2022-06-10,0.5858208831200807
2022-06-13,0.7571001300983726
2022-06-14,0.7582847377649782
2022-06-15,0.6208681382015835
2022-06-16,0.7288808037972102
2022-06-17,0.6865405314677471
2022-06-21,0.65
2022-06-22,0.55
2022-06-23,0.55
2022-06-24,0.55
2022-06-27,0.55
2022-06-28,0.65
2022-06-29,0.55
2022-06-30,0.55
2022-07-01,0.65
2022-07-05,0.5565677195089275
2022-07-06,0.55
2022-07-07,0.55
2022-07-08,0.55
2022-07-11,0.55
2022-07-12,0.55
2022-07-13,0.551010102739946
2022-07-14,0.5536809780954027
2022-07-15,0.55
2022-07-18,0.55
2022-07-19,0.55
2022-07-20,0.55
2022-07-21,0.55
2022-07-22,0.55
2022-07-25,0.55
2022-07-26,0.552326537151726
2022-07-27,0.55
2022-07-28,0.5415217077830092
2022-07-29,0.5248756234403564
2022-08-01,0.5283061311668767
2022-08-02,0.5359262411493535
2022-08-03,0.5179586262330332
2022-08-04,0.5187456213464582
2022-08-05,0.5207140120615412
2022-08-08,0.5220638946849582
2022-08-09,0.5266754368405284
2022-08-10,0.4023806195861934
2022-08-11,0.5023806195861934
2022-08-12,0.382388632200508
2022-08-15,0.37743975482881165
2022-08-16,0.3750775053844078
2022-08-17,0.3860854284987635
2022-08-18,0.3801669691938742
2022-08-19,0.51277137853708
2022-08-22,0.5789461492533341
2022-08-23,0.5912072658965168
2022-08-24,0.5641717688069698
2022-08-25,0.5377794210300092
2022-08-26,0.7158916708512113
2022-08-29,0.680378150310938
2022-08-30,0.6761302167684657
2022-08-31,0.6900964222418585
2022-09-01,0.7020660972469289
2022-09-02,0.65
2022-09-06,0.6580122180929889
2022-09-07,0.65
2022-09-08,0.65
2022-09-09,0.6400315998944298
2022-09-12,0.6277436951226446
2022-09-13,0.6540133847535438
2022-09-14,0.668506499538335
2022-09-15,0.6837992347985692
2022-09-16,0.6962044516962932
2022-09-19,0.6737536571830611
2022-09-20,0.65
2022-09-21,0.6709862377795895
2022-09-22,0.6623334591346025
2022-09-23,0.6912927864362706
2022-09-26,0.8256987348784683
2022-09-27,0.8100883504116881
2022-09-28,0.7734726747263221
2022-09-29,0.7992504538408736
2022-09-30,0.7670454621517838
2022-10-03,0.75
2022-10-04,0.65
2022-10-05,0.65
2022-10-06,0.75
2022-10-07,0.75
2022-10-10,0.7734219304154871
2022-10-11,0.7970588381956836
2022-10-12,0.8027495683913776
2022-10-13,0.7639580608289217
2022-10-14,0.7563137739276151
2022-10-17,0.75
2022-10-18,0.75
2022-10-19,0.65
2022-10-20,0.55
2022-10-21,0.55
2022-10-24,0.55
2022-10-25,0.55
2022-10-26,0.55
2022-10-27,0.55
2022-10-28,0.55
2022-10-31,0.55
2022-11-01,0.55
2022-11-02,0.55
2022-11-03,0.55
2022-11-04,0.55
2022-11-07,0.55
2022-11-08,0.55
2022-11-09,0.5526682080836177
2022-11-10,0.55
2022-11-11,0.55
2022-11-14,0.55
2022-11-15,0.55
2022-11-16,0.55
2022-11-17,0.5550998674907472
2022-11-18,0.5579929001235373
2022-11-21,0.55
2022-11-22,0.55
2022-11-23,0.5471370389101188
2022-11-25,0.5473911238400382
2022-11-28,0.55
2022-11-29,0.55
2022-11-30,0.5322858018442742
2022-12-01,0.43313266131752026
2022-12-02,0.434459699773464
2022-12-05,0.55
2022-12-06,0.5538373781788855
2022-12-07,0.5806122505722278
2022-12-08,0.587046382219204
2022-12-09,0.7093389385634582
2022-12-12,0.7114457831325302
2022-12-13,0.55354953608284
2022-12-14,0.65
2022-12-15,0.6572678194616297
2022-12-16,0.65
2022-12-19,0.65
2022-12-20,0.65
2022-12-21,0.65
2022-12-22,0.65
2022-12-23,0.65
2022-12-27,0.65
2022-12-28,0.6592178751602998
2022-12-29,0.6704783387154715
2022-12-30,0.65
2023-01-03,0.6791806233492913
2023-01-04,0.6549884612013125
2023-01-05,0.6543360393447956
2023-01-06,0.65
2023-01-09,0.6541531966221181
2023-01-10,0.65
2023-01-11,0.6455566092856154
2023-01-12,0.541414094828516
2023-01-13,0.52144367011048
2023-01-17,0.523572243488541
2023-01-18,0.6376022064945527
2023-01-19,0.5459429062768049
2023-01-20,0.4410049429708341
2023-01-23,0.4347222066540261
2023-01-24,0.41211130030616033
2023-01-25,0.4116724926304637
2023-01-26,0.14879539723355847
2023-01-27,0.1460737648280121
2023-01-30,0.1629388397579001
2023-01-31,0.14685732123738893
2023-02-01,0.13108955410175924
2023-02-02,0.11358848788528489
2023-02-03,0.12655343798244104
2023-02-06,0.133928481382826
2023-02-07,0.11824189888012347
2023-02-08,0.16107524489913846
