,AGG,ASML,DBA,EFA,GLD,IWM,META,MSFT,NVDA,QQQ,SPY,TLT,UUP,VNQ,VWO,XLE,XLF,XLI,XLP,XLU,XLV
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.009551058394029604,0.0,0.0,0.0,0.0033597161787677085,0.007552763284222257,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-06,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-07,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-10,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-11,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-12,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-13,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-14,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.01183342354118202,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-18,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.011833423541182019,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-19,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.011833423541182019,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-20,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.011833423541182017,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-21,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.011833423541182017,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
2022-01-24,0.0,0.009551058394029604,0.0,0.0,0.0,0.003359716178767709,0.007552763284222258,0.011833423541182017,0.02618456198228889,0.007988164527410148,0.008142964290088423,0.0,0.0,0.006338480741031893,0.0,0.011698461046094205,0.0,0.0,0.0,0.0,0.0038862331987894296
