group,strategy,start,end,trading_days,gross_return,net_return,cost_drag_compounded,total_cost_sum,cagr,annualized_return_arithmetic,annualized_volatility,downside_deviation_0rf,downside_deviation_4rf,avg_monthly_turnover,annualized_cost_sum,sharpe_0rf,sharpe_4rf,sortino_0rf,sortino_4rf,calmar,max_drawdown,total_turnover,avg_daily_turnover,annualized_turnover,trade_days,trade_events,avg_gross_exposure,max_gross_exposure,avg_net_exposure,avg_positions_over_1pct,variant,transaction_cost_bps,caution_threshold,panic_threshold,min_hold_days,leverage_cap,excluded_symbols,symbol_count,prediction_horizon_days,panic_assets
fixed_path_cost_sensitivity,fixed path 5bps,2022-01-03,2026-05-08,1091,1.4553229565580699,1.4223566263015828,0.0329663302564871,0.013542249534197338,0.22673738561773282,0.22121217177105557,0.18362502585932802,0.11767039475557492,0.11879027107900111,0.5110282843093334,0.003127998975818267,1.204695115689309,0.9868598842833062,1.8799305656325684,1.5254799077825232,1.2204860515402576,-0.18577630226219255,27.084499068394678,0.024825388696970374,6.255997951636534,1090,10941,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,5 bps,5,,,,,,,,
fixed_path_cost_sensitivity,fixed path 10bps,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987245,0.1836080604806996,0.11776269616892426,0.1188838243887072,0.5109967898419436,0.006255612397001834,1.1877722458312059,0.9699168864571293,1.8518984826658678,1.4979713116193183,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,10 bps,10,,,,,,,,
fixed_path_cost_sensitivity,fixed path 20bps,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3260842661329448,0.12923869042512504,0.05415900449991638,0.21529978351485934,0.21183048318135642,0.1835813336781786,0.11795246474324896,0.1190761224095634,0.5109340047161922,0.012509687565516892,1.1538781146055899,0.9359910386236672,1.7958970475305867,1.4430305564565153,1.1379262193561783,-0.18920364066896422,27.079502249958196,0.024820808661739868,6.254843782758447,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,20 bps,20,,,,,,,,
fixed_path_cost_sensitivity,fixed path 50bps,2022-01-03,2026-05-08,1091,1.4553229565580699,1.1448427622243087,0.3104801943337612,0.1353480796629079,0.19274051703691297,0.19307736957817279,0.18355849812486624,0.11856337927191472,0.11969453485258785,0.5107474704260674,0.031262801168701004,1.0518574271992098,0.8339432450250351,1.628473907911875,1.2789002419091082,0.9832733969632831,-0.1960192532739805,27.069615932581577,0.024811746959286504,6.252560233740199,1090,10944,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,50 bps,50,,,,,,,,
crisis_threshold_sensitivity,threshold 0.30/0.60,2022-01-03,2026-05-08,1091,1.3719679588292046,1.3075585023032006,0.06440945652600405,0.02757463378216014,0.21305722341616118,0.2095936361546446,0.1813948401514771,0.11693082418608447,0.118055119944771,0.5202761090973612,0.006369209636209308,1.1554553369854377,0.9349418980882934,1.7924583839509753,1.4365631599373627,1.171424494486124,-0.18187875054603864,27.574633782160138,0.025274641413529,6.369209636209308,1090,10789,0.8011915780419885,0.9987330302239876,0.790684317879223,6.734188817598533,"caution=0.30, panic=0.60",10,0.3,0.6,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.30/0.65,2022-01-03,2026-05-08,1091,1.4134495023221412,1.3478729264944187,0.06557657582772247,0.027611210333220684,0.21791981115058445,0.21362593536885674,0.1815536894647823,0.11692648765797486,0.1180501984761091,0.5209662327022772,0.006377658115464356,1.1766543329338168,0.9563338309494207,1.827010625631211,1.4707805459894674,1.198159820739602,-0.18187875054603864,27.611210333220683,0.025308167124858554,6.377658115464356,1090,10799,0.8005003555309514,0.9987330302239876,0.789993095368186,6.738771769019248,"caution=0.30, panic=0.65",10,0.3,0.65,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.30/0.70,2022-01-03,2026-05-08,1091,1.29427347866512,1.2395058552552336,0.05476762340988639,0.024164023417094872,0.2046986366491068,0.20570521136517592,0.19732630330771897,0.13037959023250797,0.13153308159519803,0.4559249701338656,0.005581424290658028,1.0424621954448239,0.8397522711747567,1.577740894861984,1.2597987468669283,0.9702746104814606,-0.21096979601221677,24.16402341709487,0.022148509089912807,5.581424290658028,1090,11522,0.8004231736322447,0.998733033213517,0.78962562343019,6.450045829514207,"caution=0.30, panic=0.70",10,0.3,0.7,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.35/0.60,2022-01-03,2026-05-08,1091,1.4156130676245975,1.351223734892962,0.06438933273163538,0.027047140819742802,0.2183210761725547,0.2142948322760799,0.18347281016260314,0.11776700190537594,0.11888871134893544,0.5103234116932605,0.006247368915284313,1.167992314971143,0.949976359557641,1.8196509107726344,1.4660334887853974,1.1679908093514308,-0.18692020041988633,27.0471408197428,0.024791146489223464,6.247368915284313,1090,10933,0.8017181628722908,0.9887551201058898,0.7917540968878416,6.706691109074244,"caution=0.35, panic=0.60",10,0.35,0.6,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.35/0.65,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,"caution=0.35, panic=0.65",10,0.35,0.65,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.35/0.70,2022-01-03,2026-05-08,1091,1.2823374082538255,1.2284885535513812,0.05384885470244427,0.023855257768632357,0.2033271222441797,0.2052223810766727,0.20065939716728448,0.13270454503467521,0.13385542999436237,0.4500992031817426,0.005510105369106648,1.0227399462661806,0.823397176554513,1.5464608316395556,1.2343345434969013,0.9293340452449637,-0.21878798402417787,23.855257768632356,0.021865497496454955,5.510105369106649,1090,11906,0.8036488229564871,0.9887551407209384,0.792422224609192,6.520623281393218,"caution=0.35, panic=0.70",10,0.35,0.7,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.40/0.60,2022-01-03,2026-05-08,1091,1.3378006472004222,1.2734355011854248,0.06436514601499743,0.027948414624012707,0.20889010745852454,0.2060901087182662,0.18108867729967934,0.11682705178610403,0.11794662836798943,0.5273285778115605,0.006455545815995602,1.138061814749536,0.9171755583779964,1.764061538551806,1.4081802169034519,1.115898482375579,-0.18719454391032875,27.948414624012706,0.02561724530156985,6.455545815995602,1090,11094,0.7901320331665754,0.9831102252488629,0.7819621216748334,6.660861594867095,"caution=0.40, panic=0.60",10,0.4,0.6,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.40/0.65,2022-01-03,2026-05-08,1091,1.3718979147007242,1.306551095879065,0.06534681882165927,0.027982171926579015,0.21293487960941326,0.209451436636821,0.1811910048075759,0.11682271140590164,0.11794170237219359,0.5279655080486606,0.006463343103114493,1.1559703907997947,0.9352088798049203,1.792899977377515,1.4367389416007916,1.1375058009779124,-0.18719454391032853,27.982171926579014,0.025648186917121004,6.463343103114493,1090,11104,0.7894445904534683,0.9831102252488629,0.7812746789617262,6.669110907424382,"caution=0.40, panic=0.65",10,0.4,0.65,5.0,1.3,,21.0,,
crisis_threshold_sensitivity,threshold 0.40/0.70,2022-01-03,2026-05-08,1091,1.227952433920069,1.1740817689897347,0.05387066493033421,0.024454925798281325,0.1964766704607639,0.1989509978986709,0.19781801861678833,0.13141821043936175,0.13256133439081355,0.46141369430719475,0.005648617141307877,1.0057273816096468,0.8035213324352907,1.513876937096703,1.1990751196729514,0.8977538361237307,-0.2188536128223071,24.454925798281323,0.022415147386142368,5.648617141307876,1090,11992,0.7935974778320645,0.9831102626260729,0.7843421146975501,6.4326306141154905,"caution=0.40, panic=0.70",10,0.4,0.7,5.0,1.3,,21.0,,
dynamic_threshold_sensitivity,rolling percentile thresholds,2022-01-03,2026-05-08,1091,1.081085548713956,1.0069860001654343,0.07409954854852163,0.0363115803082142,0.17457815567957047,0.17418986522945595,0.16308383049313815,0.10535276873680595,0.1064346621764137,0.6846985827170533,0.00838727611152152,1.0681001586897672,0.8228275287849709,1.6533961785534084,1.260772219176479,0.9002082153398548,-0.1939308625545726,36.28902488400382,0.03326216762970103,8.38206624268466,1090,9385,0.7795126822890205,1.019203702611742,0.7692775717769523,5.696608615948671,rolling 60/85 percentile,10,rolling_p60_126d,rolling_p85_126d,5.0,1.3,,21.0,,
transaction_cost_sensitivity,cost 5bps,2022-01-03,2026-05-08,1091,1.0392500925695631,1.0020043833788939,0.037245709190669274,0.018434078195109532,0.1739040956333897,0.17905777734109257,0.1935232051996369,0.12943321092518784,0.1305719042776382,0.6956255922682844,0.0042579172366339155,0.9252522308959181,0.7185586720602407,1.3833990214813388,1.0649900383271629,0.6624731283268772,-0.2625073956925571,36.86815639021906,0.033792993941539014,8.515834473267832,1090,11949,0.8252112255597109,0.9896876390195853,0.8174343377776956,7.66544454628781,5 bps,5,0.35,0.65,5.0,1.3,,21.0,,
transaction_cost_sensitivity,cost 10bps,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,10 bps,10,0.35,0.65,5.0,1.3,,21.0,,
transaction_cost_sensitivity,cost 20bps,2022-01-03,2026-05-08,1091,1.2996552175215044,1.229483072411826,0.0701721451096784,0.03108761362988159,0.20345114106600604,0.1968522374619431,0.15252875244837272,0.09822881005222196,0.09919137341384986,0.29327937386680747,0.00718064036180583,1.2905910151502276,1.02834537714477,2.004017328086224,1.581309261718945,1.1057301234817731,-0.18399710448818185,15.543806814940798,0.0142473023051703,3.5903201809029155,1075,7516,0.75503164967461,0.9719501530761128,0.7514130722955795,5.372135655362053,20 bps,20,0.35,0.65,5.0,1.3,,21.0,,
transaction_cost_sensitivity,cost 50bps,2022-01-03,2026-05-08,1091,0.43240350184426934,0.38542583717123624,0.046977664673033104,0.0333228663734038,0.0782091499546631,0.07661224375226365,0.05096876783563033,0.03512379651786615,0.036239238571532675,0.12574666556001432,0.007696940720529568,1.5031213624651711,0.7183270325532457,2.1812062290388767,1.0102928536976488,1.4631310455291233,-0.05345327760875973,6.66457327468076,0.006108683111531402,1.5393881441059134,1075,2148,0.6384967919340054,0.8,0.6384967919340054,1.9688359303391385,50 bps,50,0.35,0.65,5.0,1.3,,21.0,,
prediction_horizon_sensitivity,prediction horizon 10d,2022-01-03,2026-05-08,1091,1.364012279933121,1.2896656547821053,0.07434662515101564,0.03197864541669573,0.21087809575332894,0.208603776805756,0.1858689887577897,0.120574638727642,0.12170972307445398,0.6033503230893763,0.007386451553627245,1.1223161980915093,0.9071108522867555,1.7300800484002041,1.3852942275007505,0.9602088337748061,-0.21961690867216632,31.977567123736943,0.02931032733614752,7.386202488709175,1090,11785,0.8191935813650439,1.0045288304269515,0.8180185382149328,7.450045829514207,10 trading days,10,0.35,0.65,5.0,1.3,,21.0,10.0,
prediction_horizon_sensitivity,prediction horizon 20d,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,20 trading days,10,0.35,0.65,5.0,1.3,,21.0,20.0,
prediction_horizon_sensitivity,prediction horizon 40d,2022-01-03,2026-05-08,1091,1.444906470355038,1.3706606475909968,0.07424582276404124,0.0308897411945515,0.22064004507487023,0.21495897734787178,0.17657393539970712,0.11315454535351151,0.11430562232256607,0.5784909378768316,0.0071349356379715664,1.2173879279593172,0.9908539272901202,1.8996937036537789,1.5306244241787537,1.1906373372268024,-0.18531255334960228,30.660019707472077,0.028102676175501447,7.081874396226365,1090,11784,0.8292573543826715,1.02446407308311,0.8287247504498365,7.84967919340055,40 trading days,10,0.35,0.65,5.0,1.3,,21.0,40.0,
