,expanding full,expanding prediction-only,rolling_2y full,rolling_2y prediction-only
2022-01-03,0.0,0.0,0.0,0.0
2022-01-04,-9.652650891756043e-05,-8.77521417802507e-05,-9.652650891756043e-05,-8.77521417802507e-05
2022-01-05,-0.003379511177447281,-0.0030723033148127854,-0.003379511177447281,-0.0030723033148127854
2022-01-06,0.0010937933028611901,0.0009943557258806912,0.0010937933028611901,0.0009943557258806912
2022-01-07,-0.0010224596739492053,-0.0009295129747397546,-0.0010224596739492053,-0.0009295129747397546
2022-01-10,-0.0003445605044981592,-0.00031323672975369643,-0.0003445605044981592,-0.00031323672975369643
2022-01-11,0.001263767426038065,0.001148869394783203,0.001263767426038065,0.001148869394783203
2022-01-12,0.0004869498148716289,0.00044267895586469486,0.0004869498148716289,0.00044267895586469486
2022-01-13,-0.0026190773745250473,-0.0023809975814785833,-0.0026190773745250473,-0.0023809975814785833
2022-01-14,0.0011528760741925659,0.0010480634603171612,0.0011528760741925659,0.0010480634603171612
2022-01-18,-0.002507571455190538,-0.0022796255699117918,-0.002507571455190538,-0.0022796255699117918
2022-01-19,-0.0014180433674422233,-0.0012891371031937826,-0.0014180433674422233,-0.0012891371031937826
2022-01-20,-0.0014627834265976691,-0.0013298124754833607,-0.0014627834265976691,-0.0013298124754833607
2022-01-21,-0.0022705105174314344,-0.0020641185833158993,-0.0022705105174314344,-0.0020641185833158993
2022-01-24,0.00027476770638568127,0.0002497884313101828,0.00027476770638568127,0.0002497884313101828
2022-01-25,-0.0021665331171656366,-0.001969588655879928,-0.0021665331171656366,-0.001969588655879928
2022-01-26,-0.00032447002928837065,0.0005191698547446499,-0.00032447002928837065,0.0005191698547446499
2022-01-27,0.0003794257094806852,-0.0011500454222190815,0.0003794257094806852,-0.0011500454222190815
2022-01-28,-0.0010877782452443086,0.0022622019460347698,-0.0010877782452443086,0.0022622019460347698
2022-01-31,-0.0016824270935330565,0.003101687900672445,-0.0016824270935330565,0.003101687900672445
2022-02-01,-0.001104467814276977,0.0007503059207059071,-0.001104467814276977,0.0007503059207059071
2022-02-02,-0.000853002998935426,0.0011552923537927473,-0.000853002998935426,0.0011552923537927473
2022-02-03,-0.002957133824264657,-0.004675203925985083,-0.002957133824264657,-0.004675203925985083
2022-02-04,7.066310407277676e-05,0.0008443263414292801,7.066310407277676e-05,0.0008443263414292801
2022-02-07,0.0024139661569082538,-0.00011166160877718045,0.0024139661569082538,-0.00011166160877718045
2022-02-08,0.0016990349455676679,0.00036318744481467213,0.0016990349455676679,0.00036318744481467213
2022-02-09,0.00043215301814814033,0.003038826760768165,0.00043215301814814033,0.003038826760768165
2022-02-10,-0.0005587038994364635,-0.0021105043326553607,-0.0005587038994364635,-0.0021105043326553607
2022-02-11,0.00700057384044106,-0.0028272129482501684,0.00700057384044106,-0.0028272129482501684
2022-02-14,0.002420724625346482,-0.00011364133856406333,0.002420724625346482,-0.00011364133856406333
2022-02-15,-0.004014859564728135,0.0032418932396425237,-0.004014859564728135,0.0032418932396425237
2022-02-16,0.0024977083508304077,9.2430063453941e-05,0.0024977083508304077,9.2430063453941e-05
2022-02-17,0.0042134203041162,-0.0031603098559545018,0.0042134203041162,-0.0031603098559545018
2022-02-18,0.0005976579806650228,-0.0013144081562486143,0.0005976579806650228,-0.0013144081562486143
2022-02-22,0.000742844846771451,-0.0008966816504534236,0.000742844846771451,-0.0008966816504534236
2022-02-23,0.001700960470889079,-0.0019183781666015642,0.001700960470889079,-0.0019183781666015642
2022-02-24,0.0005062135754552166,0.003118701373185262,0.0005062135754552166,0.003118701373185262
2022-02-25,-0.002501895525947817,0.0016112501421399195,-0.002501895525947817,0.0016112501421399195
2022-02-28,0.003571288823394303,0.00045253314116511234,0.003571288823394303,0.00045253314116511234
2022-03-01,0.007764317221604644,-0.001917141261169486,0.007764317221604644,-0.001917141261169486
2022-03-02,-0.0033548352529731984,0.002127425863830412,-0.0033548352529731984,0.002127425863830412
2022-03-03,0.002936015320353036,-0.001229358730716723,0.002936015320353036,-0.001229358730716723
2022-03-04,0.007069495656306435,-0.001466038194138708,0.007069495656306435,-0.001466038194138708
2022-03-07,0.006618603624922059,-0.003358342230389333,0.006618603624922059,-0.003358342230389333
2022-03-08,0.007432454797153376,0.0001394779980805616,0.007432454797153376,0.0001394779980805616
2022-03-09,-0.013825820513093445,0.003553469159048639,-0.013825820513093445,0.003553469159048639
2022-03-10,0.003412703935254502,-0.0006702288134871059,0.003412703935254502,-0.0006702288134871059
2022-03-11,0.0005414916445063422,-0.0017195114541980194,0.0005414916445063422,-0.0017195114541980194
2022-03-14,-0.004716002886623993,-0.0017236671152156546,-0.004716002886623993,-0.0017236671152156546
2022-03-15,-0.006184010549603491,0.0028923385831520765,-0.006184010549603491,0.0028923385831520765
2022-03-16,-0.001715812949599993,0.0036369220852718875,-0.001715812949599993,0.0036369220852718875
2022-03-17,0.0003223407332904049,0.0012192514974533886,0.0003223407332904049,0.0012192514974533886
2022-03-18,-0.00206848218734601,0.0027100662834920186,-0.00206848218734601,0.0027100662834920186
