,Full Alpha Trinity rebuilt,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,0.9999034734910824,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,0.9988995939476234,0.999000999000999,0.999000999000999
2022-01-05,0.996524288526051,0.9798181484910109,0.9862490289842909,0.9818642268506996,0.9673935307152792,0.977744181787983,0.9878562739187562,0.9958321758914742
2022-01-06,0.9976142801189793,0.978897567111582,0.9852739068169463,0.9852944236426027,0.9671447886720259,0.9766661185244029,0.9882203329358025,0.9933555128899032
2022-01-07,0.9965942597474018,0.97502757915432,0.9817834973917902,0.9833019275941156,0.9593741920701613,0.9725564766675813,0.987157832379118,0.9906024586734661
2022-01-10,0.9962508727264833,0.9738142362482126,0.9807011211986048,0.9793993334613141,0.9564669247118164,0.971254884221792,0.9847387534881052,0.9923221333981661
2022-01-11,0.997509902127597,0.9826839765932435,0.9867900821977663,0.9875532173503285,0.9652190225065602,0.9805815467951065,0.9904826345852245,0.9963615945755674
2022-01-12,0.9979956393897707,0.9853406216443981,0.9883894488652624,0.9901894563383192,0.9669839735445435,0.9834414039811611,0.9918635595151799,0.9944233637363156
2022-01-13,0.9953818115907702,0.9717640934629139,0.9809131546916919,0.9800974626004547,0.954448432143085,0.9687220478931227,0.9861154360086729,0.996120523739379
2022-01-14,0.9965293634660397,0.9721616157023292,0.9789597876329575,0.982866764172682,0.9602667041885105,0.9691136305046285,0.9863573574846127,0.9908986012943528
2022-01-18,0.9940304948799531,0.954944991127644,0.9661782630515366,0.9668875172345291,0.9454894049919583,0.9508117301849327,0.9754037211233288,0.9870593003063689
2022-01-19,0.9926209165296532,0.9450292678523439,0.9609850164463113,0.9629523383945758,0.94327253402191,0.9402304774558339,0.9744422145055607,0.9926557795191625
2022-01-20,0.9911689271040595,0.9345695738994102,0.9548042309515767,0.9570198873834269,0.9332705051553433,0.9294782173213022,0.9708224042473905,0.9944409185697833
2022-01-21,0.9889184676305185,0.9162233879188552,0.945050663723149,0.9450000160553681,0.9223529853040444,0.9108480577262069,0.9632619084855829,0.9968458181552703
2022-01-24,0.9891901904896718,0.9201145581132533,0.9470184136570376,0.9457242799550546,0.9205555291264246,0.9147261954405578,0.9631722411078865,0.9966669627331611
2022-01-25,0.9870470771828006,0.9088807312191092,0.9397042296510999,0.936264380103438,0.9240766533037502,0.9038152498649882,0.9575919717409017,0.9969316518948941
2022-01-26,0.9867268099887581,0.9066005615199918,0.9361737780905149,0.9331460793750346,0.9172107766837315,0.9015991498080422,0.9534413066969849,0.9897988502574556
2022-01-27,0.9871011995087017,0.9021237329224785,0.9346406707932308,0.9284670414753822,0.9175376893155447,0.8972634362876382,0.9517775861393505,0.994001946189131
2022-01-28,0.9860274522980216,0.9245283137235116,0.9488246906904515,0.9413668654463934,0.9201355523027722,0.9189710061480765,0.9610989862572963,0.9934319177999344
2022-01-31,0.984368532997308,0.9411800560829434,0.959036226857055,0.957272210424414,0.9239611736090594,0.9350339009040209,0.9705257176976293,0.9918401946441037
2022-02-01,0.9832813296352254,0.9475394644652798,0.9627869379843218,0.962718021337241,0.9299727810434347,0.9408398390864783,0.973983544375962,0.9904614495872346
2022-02-02,0.9824425877122493,0.9567440601117452,0.9688087374991642,0.9693733633793901,0.9343697408639136,0.9490694992758977,0.9787689657838415,0.9914925372081144
2022-02-03,0.9795373735057273,0.9342558331602323,0.9535754673855505,0.9419615801670254,0.931135383183474,0.9290117087304663,0.9631664379707161,0.9869557386504866
2022-02-04,0.9796065906570945,0.9386488802575079,0.9538613827865401,0.9436670326248437,0.9314041144804771,0.9328811185798694,0.9624129561535197,0.9819797293527129
2022-02-07,0.9819713278140251,0.9356366037170569,0.9523678590824182,0.942211974292813,0.934738421820138,0.9303074713416399,0.9626597431995818,0.9842949669390487
2022-02-08,0.9836397314155266,0.9433347565563412,0.955893823994149,0.9455666431438824,0.9328372754509421,0.9368738918337162,0.9656001666762621,0.983078686258799
2022-02-09,0.9840648142942283,0.9571416500260393,0.9645243229312452,0.9613648102626323,0.9395819760960573,0.9486755983899727,0.9748260466941361,0.9842495532736495
2022-02-10,0.9835150134451839,0.939945869314095,0.9505587432822128,0.9463340599992663,0.9286479693757798,0.9340686537213038,0.9631830471346907,0.9775984991005641
2022-02-11,0.9904001829199893,0.9214114118200818,0.9418032731808968,0.9351414514762512,0.9315029333136672,0.9184516194989246,0.9592322661873559,0.9885548899679174
2022-02-14,0.9927976690317314,0.9183989999298727,0.9377649805369112,0.9307569512900018,0.9218360805802218,0.9159437886830274,0.9550096964888777,0.9861956623133661
2022-02-15,0.9888117258143796,0.9332097825550841,0.9462138883046001,0.9433798283500193,0.9161761967658245,0.927937432432679,0.9609158174828294,0.979688038740752
2022-02-16,0.9912814891193452,0.9342558331602324,0.9473005577649238,0.945516069150126,0.9183016361059546,0.9287693956470812,0.9633000824137391,0.9835052166296757
2022-02-17,0.9954581746726953,0.9142987820341548,0.93594501975252,0.9316355979798923,0.9151657273288701,0.9129224585837378,0.956555237935108,0.9893876099585206
2022-02-18,0.9960531181952066,0.9083787189664734,0.9330904186189455,0.9267583792618669,0.913571790247071,0.9081858055572591,0.9543429978112985,0.9928875646978091
2022-02-22,0.9967930311211686,0.8986303556670115,0.9266701962341243,0.9210086364463417,0.9094206346618066,0.9005922203173893,0.9509647409959636,0.9938907800818895
2022-02-23,0.9984885366647633,0.8826898086112934,0.9151466783152332,0.9094341279152883,0.9109372166652363,0.8881633339750881,0.9430370574955852,0.9909533455670035
2022-02-24,0.9989939851169595,0.8959735752660989,0.9240743420084829,0.9199213118771172,0.9057372318125765,0.8985130611234949,0.9474826613499738,0.9918899136872186
2022-02-25,0.9964946065351465,0.9157422872038393,0.9366697073801106,0.9341550236115076,0.9097195366440125,0.9140154165798521,0.9578489535705065,0.9901799751081468
2022-02-28,1.0000533765860382,0.9133993152169831,0.9379287455738455,0.9354706872487155,0.9156934821073601,0.9121877970715753,0.9594556440088101,1.0002275122250797
2022-03-01,1.007818108240389,0.8994879994089436,0.9314625528317418,0.9257129508829066,0.9226472099272495,0.9014754631389289,0.9566757882426014,1.0111223580417485
2022-03-02,1.0044370445222794,0.9160351840802761,0.9372586259955203,0.9366890743512442,0.9290558153391267,0.9143325954266446,0.9614693068073537,0.9967873123428056
2022-03-03,1.0073860870733269,0.9114747093322831,0.9357221347228913,0.9332580942161983,0.9396046537245678,0.9107836286848384,0.9624479690047401,1.002571326840095
2022-03-04,1.0145077986401152,0.9040692503447983,0.9326542604032136,0.9274583589977289,0.9515797710216137,0.9051219301709232,0.9618564509092783,1.013868991030153
2022-03-07,1.0212224236337064,0.8774180708847078,0.9139826380686696,0.9086171822784251,0.9596131279703011,0.8845548780213577,0.9507716893718117,1.0164485771101608
2022-03-08,1.0288126131352033,0.8707658333008137,0.9085229940408295,0.906972658493452,0.9590864047583265,0.8792367247099891,0.9480629944161159,1.020174208541923
2022-03-09,1.0145884346043894,0.8941117716691376,0.9223604646128899,0.9239076488880772,0.9413391924320735,0.8970367456704593,0.955671797277438,1.0064166442778868
2022-03-10,1.0180509245478275,0.8900742883862792,0.9177969095206119,0.9187568814249538,0.9490969867822828,0.8939557411381055,0.9524080075701225,1.0037643641452505
2022-03-11,1.018602190617152,0.8787570860411718,0.9107218736161174,0.9084245316833978,0.9472125609748101,0.8856728865619578,0.946255935415465,1.0039296783464937
2022-03-14,1.01379845974588,0.8723347400213384,0.9031989842287181,0.9002080011658958,0.9380438877941674,0.8809454414526822,0.9397247611154961,0.9919125745513361
2022-03-15,1.0075291193756397,0.8915177935559636,0.9159151794305256,0.9125572627909949,0.9291500282699781,0.8950140860352879,0.9470276954275921,0.9867297410662617
2022-03-16,1.005800387865516,0.911286437818825,0.9283638113587113,0.9342691138600758,0.924786989934425,0.9096088021707041,0.9596329237805566,0.988965729641524
2022-03-17,1.0061245983000844,0.9226874893390493,0.93594869552261,0.9428009247453621,0.934568031678043,0.9177631889294323,0.965994993148283,0.9883540432145557
2022-03-18,1.00404344749025,0.9327934466992994,0.9429284173548272,0.9538563875549364,0.9310755658906557,0.9248223533302105,0.9715226904054189,0.989638793716747
2022-03-21,1.0082561913690498,0.9325207846116924,0.9390602058447339,0.9538224485245353,0.9446436036704495,0.9246268037806058,0.9712958915259059,0.9848956062794282
2022-03-22,1.0058692381027126,0.9434325467565384,0.944629286087696,0.9589186225951823,0.9424175398573059,0.9322748552626645,0.9741242169581631,0.9793180770914077
2022-03-23,1.0105595332405595,0.9312826726998605,0.9388796906182476,0.9514619657364947,0.9495608318539334,0.9237398023715936,0.9706155147289284,0.9891040538137118
2022-03-24,1.0133333107468439,0.9453210142558371,0.9465228198946436,0.964564224815016,0.9522915575806227,0.9335876376092618,0.9774916461714976,0.9890129540196884
2022-03-25,1.0122785270782646,0.949937659153424,0.9462812994644262,0.9668197621988738,0.959980296498586,0.9368156216787502,0.9792783843470089,0.9829713053070979
2022-03-28,1.0082756424540027,0.9566947251249337,0.9512453937942097,0.9698572929909381,0.9506938685486354,0.9414873421076086,0.9810464710747503,0.9813474292063731
2022-03-29,1.005165187402218,0.9685296402946116,0.9600911566842208,0.980675016794568,0.9494209535511743,0.9496416958813946,0.988400037944495,0.982730388898139
2022-03-30,1.0058317283257698,0.9625493465845945,0.9575724876031037,0.9763666464876528,0.9560631665054443,0.9455412854426951,0.9870717605614141,0.9859153624290178
2022-03-31,1.0056177485996407,0.9477342327671252,0.9485435416221093,0.9657176758150848,0.9529233845287142,0.9354446992622475,0.9802272227675934,0.9875299467806216
2022-04-01,1.0046676310901232,0.9504201810408992,0.9494805533207998,0.9691091114108688,0.9549816013960073,0.9372769255530349,0.983380836242151,0.9866789088744949
2022-04-04,1.0086356916330688,0.9585621457368544,0.9546774416052713,0.9753773356583934,0.9568718922752388,0.9427845132386389,0.9863292350188506,0.9877148334884197
2022-04-05,1.0031530990845043,0.9464543654549324,0.943580937087851,0.9625527564745529,0.9555770739405813,0.9344785564885897,0.9782886488126153,0.9798300972046605
2022-04-06,0.9991227523889299,0.9369901689725125,0.9369526396564429,0.9540171443755209,0.961010904196274,0.9279826524347989,0.9753826960982847,0.978229100592183
2022-04-07,1.0011390763833834,0.9417118452823521,0.9389652931948063,0.9550608961716295,0.9645741698237343,0.931208398560017,0.976935081343848,0.9775296987167753
2022-04-08,1.0015119535554227,0.9391937983834484,0.9355667325834235,0.9525739124127844,0.9747174660478483,0.9294935190282476,0.9766365717269396,0.9756293625734968
2022-04-11,0.9916044126315909,0.9231408433536634,0.9243581770512653,0.9389119531563149,0.9687746458973658,0.9185323166207001,0.9679147925853194,0.9730830923416078
2022-04-12,0.993315628532636,0.9197202842680317,0.9234703158888536,0.9368751193868504,0.9734927470607542,0.9161820765142787,0.9678947764170197,0.9764499854258258
2022-04-13,0.9996808514175783,0.930254420587897,0.9305539187213353,0.9459447557746569,0.9758851474226026,0.9233879300280824,0.9734237524517226,0.9775830128623054
