Date,signal_crisis_score,signal_regime,return_regime_from_prior_signal,net_return_primary_full,gross_exposure_primary_full,turnover_primary_full
2022-01-03,0.0,growth,unassigned,0.0,0.0,0.0
2022-01-04,0.10044658993012857,growth,unassigned,-9.652650891756043e-05,0.0,0.09652650891752104
2022-01-05,0.1752442416456581,growth,growth,-0.003379511177447281,0.09653582718390458,0.0031252542117869786
2022-01-06,0.1667381241291908,growth,growth,0.0010937933028611901,0.09653582718390458,0.0013651930391738796
2022-01-07,0.15926168260376536,growth,growth,-0.0010224596739492053,0.09653582718390458,0.0013035629714671223
2022-01-10,0.18465365790238517,growth,growth,-0.0003445605044981592,0.09653582718390458,0.0007466811383350677
2022-01-11,0.14882855427370595,growth,growth,0.001263767426038065,0.09653582718390458,0.0011429115037009598
2022-01-12,0.11867253355451579,growth,growth,0.0004869498148716289,0.09653582718390458,0.0005772515347868459
2022-01-13,0.37249540815222637,caution,growth,-0.0026190773745250473,0.09653582718390458,0.002371875746708005
2022-01-14,0.26813255940715885,growth,growth,0.0011528760741925659,0.09653582718390458,0.0012065431366133405
2022-01-18,0.43664968196048715,caution,caution,-0.002507571455190538,0.09653582718390458,0.002416052661174321
2022-01-19,0.486104216737934,caution,growth,-0.0014180433674422233,0.09653582718390458,0.0014562214980215309
2022-01-20,0.547110314319421,caution,caution,-0.0014627834265976691,0.09653582718390458,0.0015567944829462826
2022-01-21,0.5620348766905763,caution,caution,-0.0022705105174314344,0.09653582718390458,0.0020492756308706293
2022-01-24,0.5806984279149591,caution,caution,0.00027476770638568127,0.09653582718390458,0.0005018046148946883
2022-01-25,0.6558667052587307,panic,caution,-0.0021665331171656366,0.09653582718390458,0.002913206552423535
2022-01-26,0.6507416281217028,panic,caution,-0.00032447002928837065,0.09653582718390458,0.8968486297609464
2022-01-27,0.6121464494176317,caution,panic,0.0003794257094806852,0.8,0.008050517768481702
2022-01-28,0.42480950853708266,caution,panic,-0.0010877782452443086,0.8,0.0009206741464166113
2022-01-31,0.402592427004985,caution,caution,-0.0016824270935330565,0.8,0.004895768341725282
