group,strategy,start,end,trading_days,gross_return,net_return,cost_drag_compounded,total_cost_sum,cagr,annualized_return_arithmetic,annualized_volatility,downside_deviation_0rf,downside_deviation_4rf,avg_monthly_turnover,annualized_cost_sum,sharpe_0rf,sharpe_4rf,sortino_0rf,sortino_4rf,calmar,max_drawdown,total_turnover,avg_daily_turnover,annualized_turnover,trade_days,trade_events,avg_gross_exposure,max_gross_exposure,avg_net_exposure,avg_positions_over_1pct,variant,transaction_cost_bps,caution_threshold,panic_threshold,min_hold_days,leverage_cap,excluded_symbols,symbol_count,prediction_horizon_days,panic_assets
asset_universe_sensitivity,full universe rebuilt,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,full universe rebuilt,10,0.35,0.65,5.0,1.3,,21.0,,
asset_universe_sensitivity,remove NVDA,2022-01-03,2026-05-08,1091,0.6951455030566336,0.6530150286117105,0.04213047444492313,0.025215467554014256,0.12309822222525879,0.12495552773003789,0.13298930745871695,0.08976615932255702,0.09089093654218944,0.475763538754986,0.00582428764767332,0.9395907845360204,0.638814723931171,1.3920115182942694,0.9346974622778096,1.0173277034513417,-0.12100154336468094,25.21546755401426,0.02311225257013223,5.824287647673322,1090,9381,0.759446454567369,0.9476664785320945,0.7493237115461507,6.18698441796517,remove NVDA,10,0.35,0.65,5.0,1.3,NVDA,20.0,,
asset_universe_sensitivity,remove AI/growth stocks,2022-01-03,2026-05-08,1091,0.4525072708900091,0.42826063128529945,0.02424663960470963,0.016828249942451273,0.08581926979782217,0.084819112545165,0.07027900622170813,0.04973999880283078,0.05089715126298515,0.31751414985757126,0.0038870018198879203,1.2068911771118023,0.6377311654603484,1.7052495895986595,0.8805819467888295,1.0805671836861255,-0.07942057753879583,16.828249942451272,0.015424610396380635,3.88700181988792,1090,8659,0.7645845742436921,0.8814797278261882,0.7625040290710213,6.9065077910174155,remove AI/growth stocks,10,0.35,0.65,5.0,1.3,NVDA MSFT META ASML,17.0,,
asset_universe_sensitivity,remove GLD,2022-01-03,2026-05-08,1091,1.1188187495893462,1.0597706576980328,0.05904809189131344,0.028298526100535987,0.18164254080223952,0.18540260405995646,0.19248878310495854,0.1260679287233072,0.1272311358088181,0.533934454727094,0.006536414827988148,0.9631865351803997,0.755382218716987,1.470656382932066,1.1428224949468613,0.6815639059400234,-0.26650845095987785,28.298526100535987,0.025938154079318047,6.536414827988148,1084,10793,0.7515503482197344,0.9881206358604433,0.740977224312488,6.571952337305224,remove GLD,10,0.35,0.65,5.0,1.3,GLD,20.0,,
asset_universe_sensitivity,remove UUP,2022-01-03,2026-05-08,1091,1.3923475368994982,1.3250441444216445,0.06730339247785366,0.0285816677948434,0.21517424048293265,0.21489512248641673,0.20010742278735713,0.13018060588338123,0.13139868063960294,0.5392767508461019,0.006601815109349713,1.0738988064164599,0.8740061715365147,1.6507460618129608,1.3310264732879225,1.0463163652939693,-0.20564931183359447,28.581667794843405,0.02619767900535601,6.601815109349714,1090,10309,0.7375141329314122,0.9933356118795827,0.7267276989695541,6.283226397800183,remove UUP,10,0.35,0.65,5.0,1.3,UUP,20.0,,
asset_universe_sensitivity,ETF-only universe,2022-01-03,2026-05-08,1091,0.4525072708900091,0.42826063128529945,0.02424663960470963,0.016828249942451273,0.08581926979782217,0.084819112545165,0.07027900622170813,0.04973999880283078,0.05089715126298515,0.31751414985757126,0.0038870018198879203,1.2068911771118023,0.6377311654603484,1.7052495895986595,0.8805819467888295,1.0805671836861255,-0.07942057753879583,16.828249942451272,0.015424610396380635,3.88700181988792,1090,8659,0.7645845742436921,0.8814797278261882,0.7625040290710213,6.9065077910174155,ETF-only universe,10,0.35,0.65,5.0,1.3,NVDA MSFT META ASML,17.0,,
