,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990009652,-0.0011004060523766013,-0.0009990009990009652,-0.0009990009990009652,-9.652650891756043e-05,-8.77521417802507e-05,-0.00010998790133087688,0.0,-9.652650891756043e-05
2022-01-05,-0.019202033360498083,-0.012764721986724847,-0.017153908922449723,-0.031639075754005486,-0.021178717348392162,-0.01115586980732508,-0.0031719919326343993,-0.003379511177447281,-0.0030723033148127854,-0.0022489260195850402,-0.0033763859232355253,-0.003379511177447281
2022-01-06,-0.000939543098733786,-0.0009887179999040763,0.003493555114952418,-0.0002571260147556931,-0.0011026025863009048,0.0003685343978250266,-0.002487028498907362,0.0010937933028611901,0.0009943557258806912,0.0005392104639732054,0.0010951584959004723,0.0010937933028611901
2022-01-07,-0.003953414624046081,-0.003542577755288656,-0.0020222341674490663,-0.008034574236329584,-0.004207826788371283,-0.0010751656500812556,-0.002771469207864863,-0.0010224596739492053,-0.0009295129747397546,-0.00020356768858664775,-0.00102115611097775,-0.0010224596739492053
2022-01-10,-0.001244419062648272,-0.0011024591430400799,-0.003968866553887618,-0.003030378951586643,-0.0013383206806140135,-0.0024505492553127395,0.0017359887507273353,-0.0003445605044981592,-0.00031323672975369643,-0.000584215956211831,-0.0003438138233597954,-0.0003445605044981592
2022-01-11,0.009108246742420834,0.006208783560601727,0.008325392524209274,0.009150444797012547,0.00960269309820494,0.005832898397441388,0.004070715588665008,0.001263767426038065,0.001148869394783203,0.001025535812365197,0.0012649103375417248,0.001263767426038065
2022-01-12,0.002703458196565478,0.001620776998420892,0.002669465241644353,0.0018285497869694467,0.00291649092867563,0.0013941939835560024,-0.001945308660835643,0.0004869498148716289,0.00044267895586469486,0.0004134498055787805,0.0004875270664064235,0.0004869498148716289
2022-01-13,-0.013778512611026583,-0.0075641177494900624,-0.0101919826284399,-0.012963546185267849,-0.014967191770095978,-0.005795276428258611,0.0017066775228276043,-0.0026190773745250473,-0.0023809975814785833,-0.0014292920465239778,-0.002616705498778349,-0.0026190773745250473
2022-01-14,0.0004090727802039673,-0.0019913761472067915,0.0028255369265823838,0.006095952226943702,0.0004042259721015462,0.0002453277447100888,-0.005242259666956128,0.0011528760741925659,0.0010480634603171612,0.0005188715944823841,0.0011540826173290775,0.0011528760741925659
2022-01-18,-0.017709632119395358,-0.013056230442647254,-0.016257795583924595,-0.015388744743617844,-0.018885195444176994,-0.011105139813847642,-0.0038745649483901135,-0.002507571455190538,-0.0022796255699117918,-0.0021093563677048177,-0.00250515540252938,-0.002507571455190538
2022-01-19,-0.010383554411433793,-0.005375039786988389,-0.004069944817581939,-0.0023446809222226195,-0.011128651859438898,-0.0009857524601821765,0.005669851052572561,-0.0014180433674422233,-0.0012891371031937826,-0.0006992098209818165,-0.0014165871459441703,-0.0014180433674422233
2022-01-20,-0.011068116415805962,-0.00643171890191474,-0.0061606901760469235,-0.010603540870548045,-0.011435770688508429,-0.003714751069160971,0.0017983465038460267,-0.0014627834265976691,-0.0013298124754833607,-0.0008846529459679564,-0.001461226632114676,-0.0014627834265976691
2022-01-21,-0.019630626218663627,-0.010215253464793572,-0.012559688138688685,-0.011698130168039111,-0.020043675309343145,-0.007787722789183826,0.002418343353113084,-0.0022705105174314344,-0.0020641185833158993,-0.0017706194309240475,-0.002268461241800579,-0.0022705105174314344
