regime,signal_days,signal_day_share,return_days,net_return_primary_full,annualized_return_arithmetic,annualized_volatility,sharpe_0rf,max_drawdown_within_regime,avg_gross_exposure,avg_turnover,cost_sum_on_return_days
growth,703,0.6443629697525206,701,1.154011396748794,0.2982500222735754,0.21165889242812505,1.409106977987494,-0.21065958375875715,0.8102177768038711,0.020116397625271322,0.014101594735315198
caution,293,0.2685609532538955,293,0.12248461185861714,0.10808315693147544,0.13190801963360546,0.8193827580134461,-0.09509591770474835,0.7848527445534321,0.04245254340649749,0.012438595218103764
panic,95,0.08707607699358387,95,-0.0114903762323596,-0.02933739741832182,0.051590259582604256,-0.5686615585127645,-0.046006792343179725,0.7999999999999997,0.004695930518805622,0.000446113399286534
unassigned,0,0.0,2,-9.652650891756043e-05,-0.012162340123612614,0.001083507375332672,-11.224972160321824,-9.652650891756043e-05,0.0,0.04826325445876052,9.652650891752103e-05
