group,strategy,start,end,trading_days,gross_return,net_return,cost_drag_compounded,total_cost_sum,cagr,annualized_return_arithmetic,annualized_volatility,downside_deviation_0rf,downside_deviation_4rf,avg_monthly_turnover,annualized_cost_sum,sharpe_0rf,sharpe_4rf,sortino_0rf,sortino_4rf,calmar,max_drawdown,total_turnover,avg_daily_turnover,annualized_turnover,trade_days,trade_events,avg_gross_exposure,max_gross_exposure,avg_net_exposure,avg_positions_over_1pct,variant,transaction_cost_bps,caution_threshold,panic_threshold,min_hold_days,leverage_cap,excluded_symbols,symbol_count,prediction_horizon_days,panic_assets
holding_period_sensitivity,hold 0d,2022-01-03,2026-05-08,1091,1.4516083199435799,1.3861891767402041,0.06541914320337572,0.027093956592988522,0.22248223047011728,0.21766705613010442,0.18325264144076492,0.11755512971950417,0.11867451715673864,0.5112067281695948,0.006258182457775534,1.187797646019,0.9695197555312401,1.851616825650018,1.4970952516743905,1.1940984219410333,-0.18631816806898338,27.093956592988523,0.024834057372125136,6.2581824577755345,1090,10933,0.7983163845930704,0.9874515317930763,0.7884111164963861,6.609532538955087,0 days,10,0.35,0.65,0.0,1.3,,21.0,,
holding_period_sensitivity,hold 3d,2022-01-03,2026-05-08,1091,1.4519571705576513,1.3865603546776981,0.06539681587995316,0.027080889442824056,0.22252615121063224,0.2177326341797065,0.1834141757230657,0.11767215263349631,0.11879221766733467,0.5109601781664915,0.006255164197609223,1.1871090842425274,0.9690234327801485,1.8503327193975985,1.496163954758622,1.19181151268394,-0.1867125370433006,27.080889442824052,0.024822080149242944,6.255164197609222,1090,10939,0.799639776368828,0.9880708848952926,0.789704373504304,6.667277726856096,3 days,10,0.35,0.65,3.0,1.3,,21.0,,
holding_period_sensitivity,hold 5d,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,5 days,10,0.35,0.65,5.0,1.3,,21.0,,
holding_period_sensitivity,hold 10d,2022-01-03,2026-05-08,1091,1.4232208202598997,1.3556205384622095,0.06760028179769018,0.028346791203454687,0.2188469343266617,0.21491047278119216,0.18447263212024279,0.11849095571760225,0.11961629049327827,0.5348451170463149,0.006547563137736554,1.1649992213539264,0.9481648891266546,1.8137289169427,1.4622629748831837,1.1694519438027662,-0.18713632098042954,28.346791203454686,0.025982393403716487,6.547563137736555,1090,11033,0.8035982887914146,0.9861762896071393,0.7936601725359776,6.837763519706691,10 days,10,0.35,0.65,10.0,1.3,,21.0,,
