feature,rf_importance,permutation_mse_increase
volatility_60d,0.40118756443707826,0.00042376105238823897
VIX,0.17274080688863475,2.977751291492723e-05
obv_trend,0.11431730302557075,4.3488489022001225e-05
mfi,0.09647478484110708,1.611067980693378e-05
dist_vwap,0.06901440741411338,-9.399521286234446e-05
returns_5d,0.05976001208851979,6.216165397309367e-05
bb_pos,0.05761115602273823,-0.00011799430405118761
returns_1d,0.02889396528223782,-8.691402148718643e-06
