strategy,samples,block_length_days,total_return_p05,total_return_p50,total_return_p95,max_drawdown_p05,max_drawdown_p50,max_drawdown_p95,sharpe_4rf_p05,sharpe_4rf_p50,sharpe_4rf_p95
Full Alpha Trinity rebuilt dynamic VIX,1000,20,0.3367361213787797,1.3856175824291348,3.5100818171646586,-0.31353678995807843,-0.1863733902949572,-0.11456505799008901,0.23462623076143277,0.989108562533489,1.767024095928935
Prediction-only MLP/RF dynamic VIX,1000,20,0.24634831611366173,1.5471683404201184,4.149155384106194,-0.3824984114968813,-0.2304590412814373,-0.15647090466145108,0.15452829190339457,0.8953337219522219,1.6367729766141534
SPY buy-and-hold,1000,20,0.0018121777223761746,0.7007613289668081,1.7768709798453892,-0.357125852467752,-0.21787826636209057,-0.1375237489189832,-0.12559254601212977,0.5553550936788638,1.2680106711230439
