Date,SHY
2020-01-02,72.45372009277344
2020-01-03,72.51361083984375
2020-01-06,72.48793029785156
2020-01-07,72.48793029785156
2020-01-08,72.45372009277344
2020-01-09,72.4622802734375
2020-01-10,72.47935485839844
2020-01-13,72.47083282470703
2020-01-14,72.47935485839844
2020-01-15,72.51361083984375
2020-01-16,72.51361083984375
2020-01-17,72.53927612304688
2020-01-21,72.55636596679688
2020-01-22,72.57350158691406
2020-01-23,72.59918212890625
2020-01-24,72.6248779296875
2020-01-27,72.70185089111328
2020-01-28,72.66764068603516
2020-01-29,72.7361068725586
2020-01-30,72.7446517944336
2020-01-31,72.8387680053711
2020-02-03,72.81741333007812
2020-02-04,72.74021911621094
2020-02-05,72.6888198852539
2020-02-06,72.70596313476562
2020-02-07,72.7488021850586
2020-02-10,72.78306579589844
2020-02-11,72.7488021850586
2020-02-12,72.7145004272461
2020-02-13,72.73167419433594
2020-02-14,72.76597595214844
2020-02-18,72.79167175292969
2020-02-19,72.80021667480469
2020-02-20,72.81741333007812
2020-02-21,72.87732696533203
2020-02-24,72.99736022949219
2020-02-25,73.0744400024414
2020-02-26,73.12589263916016
2020-02-27,73.21160125732422
2020-02-28,73.47730255126953
2020-03-02,73.44727325439453
2020-03-03,73.73912811279297
2020-03-04,73.74767303466797
2020-03-05,73.90216827392578
2020-03-06,73.98802947998047
2020-03-09,74.39141845703125
2020-03-10,74.06523895263672
2020-03-11,73.97945404052734
2020-03-12,73.96227264404297
2020-03-13,74.05668640136719
2020-03-16,74.17687225341797
2020-03-17,74.00517272949219
2020-03-18,73.9107666015625
2020-03-19,74.03954315185547
2020-03-20,74.2369384765625
2020-03-23,74.3227767944336
2020-03-24,74.21976470947266
2020-03-25,74.30561065673828
2020-03-26,74.39141845703125
2020-03-27,74.37427520751953
2020-03-30,74.40863037109375
2020-03-31,74.39141845703125
2020-04-01,74.43958282470703
2020-04-02,74.45672607421875
2020-04-03,74.43958282470703
2020-04-06,74.38800048828125
2020-04-07,74.37080383300781
2020-04-08,74.41380310058594
2020-04-09,74.43958282470703
2020-04-13,74.44818878173828
2020-04-14,74.44818878173828
2020-04-15,74.4738998413086
2020-04-16,74.4911117553711
2020-04-17,74.4653549194336
2020-04-20,74.4653549194336
2020-04-21,74.4825210571289
2020-04-22,74.45672607421875
2020-04-23,74.44818878173828
2020-04-24,74.44818878173828
2020-04-27,74.44818878173828
2020-04-28,74.4738998413086
2020-04-29,74.4653549194336
2020-04-30,74.59425354003906
2020-05-01,74.48416900634766
2020-05-04,74.48416900634766
2020-05-05,74.47557067871094
2020-05-06,74.50135803222656
2020-05-07,74.55296325683594
2020-05-08,74.53572082519531
2020-05-11,74.50996398925781
2020-05-12,74.52714538574219
2020-05-13,74.52714538574219
2020-05-14,74.50996398925781
2020-05-15,74.55296325683594
2020-05-18,74.4927978515625
2020-05-19,74.53572082519531
2020-05-20,74.53572082519531
2020-05-21,74.51852416992188
2020-05-22,74.51852416992188
2020-05-26,74.51852416992188
2020-05-27,74.50135803222656
2020-05-28,74.53572082519531
2020-05-29,74.53572082519531
2020-06-01,74.52713012695312
2020-06-02,74.52713012695312
2020-06-03,74.4669418334961
2020-06-04,74.48411560058594
2020-06-05,74.4582748413086
2020-06-08,74.44110870361328
2020-06-09,74.4669418334961
2020-06-10,74.50994110107422
2020-06-11,74.47552490234375
2020-06-12,74.50132751464844
2020-06-15,74.48411560058594
2020-06-16,74.47552490234375
2020-06-17,74.50132751464844
2020-06-18,74.49275970458984
2020-06-19,74.50994110107422
2020-06-22,74.49275970458984
2020-06-23,74.50994110107422
2020-06-24,74.51851654052734
2020-06-25,74.51851654052734
2020-06-26,74.54436492919922
2020-06-29,74.56163024902344
2020-06-30,74.55298614501953
2020-07-01,74.52802276611328
2020-07-02,74.56244659423828
2020-07-06,74.5365982055664
2020-07-07,74.55384826660156
2020-07-08,74.55384826660156
2020-07-09,74.57106018066406
2020-07-10,74.54524230957031
2020-07-13,74.54524230957031
2020-07-14,74.55384826660156
2020-07-15,74.56244659423828
2020-07-16,74.56244659423828
2020-07-17,74.57965087890625
2020-07-20,74.56244659423828
2020-07-21,74.57965087890625
2020-07-22,74.57106018066406
2020-07-23,74.57106018066406
2020-07-24,74.57965087890625
2020-07-27,74.55384826660156
2020-07-28,74.57106018066406
2020-07-29,74.5882568359375
2020-07-30,74.61417388916016
2020-07-31,74.62275695800781
2020-08-03,74.62274932861328
2020-08-04,74.63133239746094
2020-08-05,74.61415100097656
2020-08-06,74.61415100097656
2020-08-07,74.60552215576172
2020-08-10,74.58826446533203
2020-08-11,74.571044921875
2020-08-12,74.55380249023438
2020-08-13,74.54517364501953
2020-08-14,74.55380249023438
2020-08-17,74.56242370605469
2020-08-18,74.571044921875
2020-08-19,74.571044921875
2020-08-20,74.571044921875
2020-08-21,74.56242370605469
2020-08-24,74.55380249023438
2020-08-25,74.56242370605469
2020-08-26,74.56242370605469
2020-08-27,74.55380249023438
2020-08-28,74.57964324951172
2020-08-31,74.60552215576172
2020-09-01,74.58739471435547
2020-09-02,74.59603118896484
2020-09-03,74.58739471435547
2020-09-04,74.56153869628906
